constant,hpwt,air,mpd,space
1,0.4879083580823079,0,1.9827197802197805,1.2627
1,0.4657661853749418,0,2.2019093406593404,1.1136
1,0.45248868778280543,0,1.504285714285714,1.6458
1,0.5289968652037618,0,1.8881456043956044,1.1502000000000001
1,0.4943244232881729,0,1.935989010989011,1.278
1,0.4676134395566332,0,1.7167994505494506,1.4592
1,0.4265402843601896,0,1.687870879120879,1.6068
1,0.7313675412119804,0,2.194120879120879,1.768
1,0.7190139237616981,0,2.0561538461538467,1.816
1,0.5640019617459539,0,1.7279258241758242,1.768
1,0.7283236994219653,0,1.978269230769231,1.7440000000000002
1,0.4508706467661691,0,1.7268131868131869,1.6224
1,0.7324840764331211,0,1.9181868131868132,1.8079999999999998
1,0.7293868921775898,0,1.9126236263736267,1.8079999999999998
1,0.7807486631016043,0,2.018324175824176,1.7760000000000002
1,0.7165109034267912,0,1.8925961538461542,1.832
1,0.3738783649052842,0,2.3320879120879123,1.092
1,0.7752834991900024,0,1.6578296703296704,1.8
1,0.6593143131143611,0,1.5287637362637367,1.8
1,0.7727797001153403,0,1.893708791208791,1.8
1,0.3885316184351554,0,1.4175000000000002,1.736
1,0.3885316184351554,0,1.4175000000000002,1.736
1,0.46864899806076277,0,1.6199999999999999,1.41
1,0.6311881188118812,0,1.4631181318681319,1.736
1,0.4517133956386293,0,1.6823076923076923,1.5352000000000001
1,0.8432229856339788,0,1.8725686813186813,1.2627
1,0.38563829787234044,0,1.4063736263736264,1.736
1,0.702408256880734,0,1.604423076923077,1.5732
1,0.48723118279569894,0,1.8024725274725275,1.387
1,0.41938490214352286,0,2.2119230769230773,1.122
1,0.4510108864696734,0,1.5443406593406597,1.5862
1,0.4139072847682119,0,1.6544917582417582,1.4784
1,0.49504950495049505,0,2.3309752747252745,1.0168
1,0.4468412942989214,0,1.6144368131868132,1.6146
1,0.4310344827586207,0,1.9493406593406595,1.379
1,0.6790123456790124,0,1.5565796703296706,1.768
1,0.38615179760319573,0,1.3785576923076925,1.768
1,0.428481411468179,0,2.7971703296703305,0.9059999999999999
1,0.43935052531041074,0,2.470054945054945,0.992
1,0.38095238095238093,0,1.4586675824175825,1.736
1,0.3768506056527591,0,1.4430906593406596,1.736
1,0.6028636021100227,0,1.4475412087912087,1.736
1,0.384172109104879,0,2.1307005494505495,1.3277
1,0.4977686234122898,0,1.7323763736263738,1.4249999999999998
