constant,ln_hpwt,air,ln_mpg,ln_space,trend
1,-0.7176276815788356,0,0.5777363290486176,0.23325228546249754,71
1,-0.7640715188966439,0,0.6825916666204286,0.10759801059801807,71
1,-0.7929925155296614,0,0.30158497762077224,0.49822658818947546,71
1,-0.6367727730322054,0,0.5288619862520891,0.13993584029751685,71
1,-0.7045632500412298,0,0.5538851132264375,0.24529635595534308,71
1,-0.76011330823046,0,0.4337285733810237,0.37788834033792995,71
1,-0.8520484631458014,0,0.41673470036639515,0.47424462350299007,71
1,-0.3128391532344319,0,0.6790482561804436,0.5698489642154517,71
1,-0.32987455599421983,0,0.6141039732194925,0.5966362801791015,71
1,-0.5726975492171595,0,0.44018854416654996,0.5698489642154517,71
1,-0.317009687546301,0,0.5754891370917129,0.556181325486788,71
1,-0.796574794884237,0,0.43954442176102704,0.48390653441472703,71
1,-0.3113136769850579,0,0.5446471722415012,0.5922212619699847,71
1,-0.3155509714605733,0,0.5417427264007123,0.5922212619699847,71
1,-0.24750199514625018,0,0.5955343516929449,0.5743636445699785,71
1,-0.33336181420682054,0,0.5312163134137248,0.6054082662519386,71
1,-0.9838247619915246,0,0.7400307664587957,0.08801087732271337,71
1,-0.25452651111282093,0,0.3987761199573678,0.5877866649021191,71
1,-0.4165549035363283,0,0.31772619380015765,0.5877866649021191,71
1,-0.2577612643955301,0,0.5318040301511824,0.5877866649021191,71
1,-0.9453807265526144,0,0.24216155714997162,0.5515836162381584,71
1,-0.9453807265526144,0,0.24216155714997162,0.5515836162381584,71
1,-0.7579011957183913,0,0.3756929497744942,0.34358970439007686,71
1,-0.4601513328027239,0,0.27383666562972786,0.5515836162381584,71
1,-0.7947073807094415,0,0.4134332777573413,0.4286606657113532,71
1,-0.17052384156423953,0,0.5205779152086688,0.23325228546249754,71
1,-0.9528554009693201,0,0.2342812957246657,0.5515836162381584,71
1,-0.3532404814900974,0,0.3660310388627573,0.45311176157551736,71
1,-0.7190165605383624,0,0.4824261492442926,0.32714314133269456,71
1,-0.868966159866333,0,0.6871291082343823,0.11511280710050467,71
1,-0.7962638012570996,0,0.3278638620846128,0.4613412186670822,71
1,-0.8821132800725685,0,0.3967606674780179,0.39096042190528263,71
1,-0.7030975114131134,0,0.7395535533741009,0.01666044089310717,71
1,-0.8055517937235703,0,0.37225297390205087,0.4790872479787781,71
1,-0.8415671856782185,0,0.5607579925141997,0.32135859881116474,71
1,-0.38711596943996784,0,0.3357576956833441,0.5698489642154517,71
1,-0.951524728783615,0,0.2143046026470055,0.5698489642154517,71
1,-0.8475079223562566,0,0.9218751101680558,-0.09871597293915782,71
1,-0.822457721387396,0,0.797507195884188,-0.008032171697264267,71
1,-0.9650808960435872,0,0.27079020478156274,0.5515836162381584,71
1,-0.9759064415485096,0,0.26005390533430695,0.5515836162381584,71
1,-0.5060643066642802,0,0.2631331995303682,0.5515836162381584,71
1,-0.9566646260124283,0,0.6497176226326092,0.2834481219197194,71
1,-0.6976199215448144,0,0.44276089285186127,0.35417181372061374,71
1,-0.9549984929772047,0,0.7114781372446687,0.1319050708799384,71
1,-0.1981675652440327,0,0.6113946786876863,0.5170064828410719,71
1,-0.7672305218684585,0,0.43048287108345223,0.4661838431428701,71
1,-0.9783261227936078,0,0.7848143690857692,0.03613904661587335,71
1,-1.2809338454620642,0,0.9190868191761564,-0.23622879086286513,71
1,-1.4116121691041805,0,0.9357011253939783,-0.15245212319167667,71
1,-0.3290080495405247,0,0.625403528473426,0.5877866649021191,71
1,-0.31531056491166787,0,0.5715443588006965,0.5515836162381584,71
1,-0.8922758556702812,0,0.5128236264286637,0.258510695151501,71
1,-0.9200126106418808,0,0.49225423818055525,0.258510695151501,71
1,-0.6438632639415841,0,0.31918073951115183,0.258510695151501,71
1,-0.47381579813209,0,0.3940670631557951,0.1680535849962496,71
1,-0.9601162114141847,0,0.6481498146292096,0.294086520124775,71
1,-0.3278038218576427,0,0.3987761199573678,0.4035966970481369,71
1,-0.5137444368068015,0,0.3818552424690307,0.5877866649021191,71
1,-0.8002991939752193,0,0.39339252687389514,0.4934759854308778,71
1,-0.5180494688553103,0,0.32063317259146673,0.5877866649021191,71
1,-0.8284525669085313,0,0.8263660243461681,0.010544213875671097,71
1,-0.3335662325643006,0,0.5152159720672835,0.5840574979722415,71
1,-0.8077066352530811,0,0.5164100020598914,0.4710031295788192,71
1,-0.547639596888707,0,0.44147554563119756,0.5698489642154517,71
1,-0.2561914053604102,0,0.5458065926612363,0.5653138090500606,71
1,-1.0980168733483457,0,0.85356390196585,0.0516432331518386,71
1,-1.009622671666374,0,0.629141850584033,0.15546410262407206,71
1,-0.8787965274465744,0,0.4047982191204607,0.3382563584147144,71
1,-0.9381197023155673,0,0.24216155714997162,0.546964670381864,71
1,-0.8067837002544803,0,0.36464311358790924,0.4821174596292469,71
1,-0.8188983858655056,0,0.509825123432407,0.3080727620995148,71
1,-0.45492573827656424,0,0.5624688569178292,0.04840913920768741,71
1,-0.8420741565382532,0,0.7178397931503168,0.020292703267762613,71
1,-0.40855556581572133,0,0.32135859881116474,0.5877866649021191,71
1,-0.48907069196296127,0,0.2783890255401884,0.5698489642154517,71
1,-0.7802734934729244,0,0.3660310388627573,0.3512200932557685,71
1,-0.2528317950160346,0,0.4434029474485566,0.49475721558692615,71
1,-0.8006089353436552,0,0.3987761199573678,0.4661838431428701,71
1,-0.47774386644237804,0,0.45107561936021656,0.3531186277359552,71
1,-1.225349821871224,0,0.8307328435125084,0.001998002662673058,71
1,-1.0515447778101241,0,0.6460555730260947,0.12680884686369584,71
1,-0.8502390389780199,0,0.7414610408384958,0.032660782239548276,71
1,-0.798223564947214,0,0.8428594537882721,-0.053400776727115296,71
1,-0.6977661264162397,0,0.7640715188966439,0.03478782548566381,71
1,-0.7602864833975738,0,0.7256143706974467,0.09603718819694217,71
1,-0.9471150900745302,0,0.4662465803680232,0.2147080724931082,71
1,-0.9778609343839164,0,0.6739643611431715,0.23325228546249754,71
1,-0.8179601221445868,0,0.6270073780554002,0.23491400691312533,71
1,-1.1138465332399576,0,0.6162661362239875,0.17781140131606865,71
1,-1.1420974006078486,0,0.883767540168595,-0.03056230558263998,71
1,-1.424497544931413,0,0.8015530544037318,0.09603718819694217,71
1,-0.8694320345544703,0,0.6916460544336781,0.10759801059801807,72
1,-0.8578138021151791,0,0.36046774217742855,0.5029547293854215,72
1,-0.9138878472578449,0,0.6657759837638134,0.13993584029751685,72
1,-0.9899128717447686,0,0.6243328645595857,0.24529635595534308,72
1,-1.0564004398588,0,0.5288619862520891,0.37788834033792995,72
1,-1.1540469955562103,0,0.6097655716208942,0.47424462350299007,72
1,-0.6381751573149322,0,0.5647454657554211,0.07008560756668776,72
1,-0.6720370321638225,0,0.2045721657287743,0.5698489642154517,72
1,-0.6964749706526199,0,0.13627761829254795,0.5966362801791015,72
1,-1.0298574840790806,0,0.26620304077465684,0.5698489642154517,72
